Default Dataset,
X,Y
43.5,213.4090909090909
54.5,216.6818181818182
65.5,217.22727272727272
76.5,217.04545454545453
87.5,216.5
98.5,215.5
109.5,216.22727272727272
120.5,216.5
131.5,216.5
142.5,216.5
153.5,216.6818181818182
164.5,216.6818181818182
175.5,216.5
186.5,215.77272727272728
197.5,216.3181818181818
208.5,215.77272727272728
219.5,216.13636363636363
230.5,216.04545454545453
241.5,218.04545454545453
252.5,217.5
263.5,217.13636363636363
274.5,217.13636363636363
285.5,217.3181818181818
296.5,217.13636363636363
307.5,217.13636363636363
318.5,217.5
329.5,217.5
340.5,216.86363636363637
351.5,215.95454545454547
362.5,215.5
373.5,215.6818181818182
384.5,214.3181818181818
395.5,210.77272727272728
406.5,209.4090909090909
417.5,208.5
428.5,208.3181818181818
439.5,207.9090909090909
450.5,205.95454545454547
461.5,205.13636363636363
472.5,205.86363636363637
483.5,204.04545454545453
494.5,204.3181818181818
505.5,202.3181818181818
516.5,202.3181818181818
527.5,201.77272727272728
538.5,201.5909090909091
549.5,201.95454545454547
560.5,201.13636363636363
571.5,201.5
582.5,200.6818181818182
593.5,200.5
604.5,200.3181818181818
615.5,200.5
626.5,201.22727272727272
637.5,201.3181818181818
648.5,201.3181818181818
659.5,201.5
670.5,200.86363636363637
681.5,201.4090909090909
692.5,200.86363636363637
703.5,199.95454545454547
714.5,199.4090909090909
725.5,200.04545454545453
736.5,198.22727272727272
747.5,198
758.5,190.36363636363637
769.5,184.77272727272728
780.3,172.05
788.625,166.5
795.5,163.3
802.7222222222222,148.11111111111111
811.8,146.2
822.5,139.95454545454547
833.5,146
844.5,139.54545454545453
855.5,145.77272727272728
866.5,145.1818181818182
877.5,146.6818181818182
888.5,152.4090909090909
899.5,154.6818181818182
910.5,154.13636363636363
921.5,154.95454545454547
932.5,156.86363636363637
943.5,155.77272727272728
954.5,155.5909090909091
965.5,158.72727272727272
976.5,160.5909090909091
987.5,163.4090909090909
998.5,165.5
1009.5,166.95454545454547
1020.5,168.86363636363637
1031.5,169.4090909090909
1042.5,170.3181818181818
1053.5,171.22727272727272
1064.5,172.4090909090909
1075.5,176.6818181818182
1086.5,178.5909090909091
1097.5,179.5
1108.5,179.77272727272728
1119.5,181.95454545454547
1129,183.25
